date,month,year,Plant_Type,gen,gen12m
2006-04-15,4,2006,NET IMPORTS,216.83031988873435,149.15967883303418
2006-05-15,5,2006,COAL,4674.501344086021,4876.457947064339
2006-05-15,5,2006,NATURAL GAS,1823.8037634408602,2214.1417685518963
2006-05-15,5,2006,RENEWABLES,427.1720430107527,412.85346205502066
2006-05-15,5,2006,NET IMPORTS,251.55241935483872,135.22518809229342
2006-06-15,6,2006,COAL,4538.419444444445,4870.890424523087
2006-06-15,6,2006,NATURAL GAS,1951.9180555555556,2233.4986236945606
2006-06-15,6,2006,RENEWABLES,440.7041666666667,419.5895613119132
2006-06-15,6,2006,NET IMPORTS,382.25555555555553,117.54559440019672
2006-07-15,7,2006,COAL,4717.068548387097,4867.361916384517
2006-07-15,7,2006,NATURAL GAS,2407.037634408602,2261.0773508488005
2006-07-15,7,2006,RENEWABLES,468.24059139784947,422.0150321122924
2006-07-15,7,2006,NET IMPORTS,207.43279569892474,102.1117767515697
2006-08-15,8,2006,COAL,5061.866935483871,4869.641182257533
2006-08-15,8,2006,NATURAL GAS,2256.060483870968,2298.5885115630867
2006-08-15,8,2006,RENEWABLES,364.98521505376345,420.9496799297526
2006-08-15,8,2006,NET IMPORTS,-12.123655913978494,87.8554523468078
2006-09-15,9,2006,COAL,4750.4430555555555,4834.852947412118
2006-09-15,9,2006,NATURAL GAS,2370.6944444444443,2321.3970596547138
2006-09-15,9,2006,RENEWABLES,366.6638888888889,430.6413249487351
2006-09-15,9,2006,NET IMPORTS,-21.54722222222222,103.8375387373489
2006-10-15,10,2006,COAL,4222.406460296097,4855.863173967776
2006-10-15,10,2006,NATURAL GAS,2813.091520861373,2334.3773478314506
2006-10-15,10,2006,RENEWABLES,394.12247644683714,431.79036183767545
2006-10-15,10,2006,NET IMPORTS,201.66890982503364,92.14866948736177
2006-11-15,11,2006,COAL,4891.069444444444,4862.63613543731
2006-11-15,11,2006,NATURAL GAS,2575.070833333333,2342.5632797310923
2006-11-15,11,2006,RENEWABLES,434.80833333333334,435.81242724986186
2006-11-15,11,2006,NET IMPORTS,108.80277777777778,76.21643382427935
2006-12-15,12,2006,COAL,5078.165535956581,4878.74400580768
2006-12-15,12,2006,NATURAL GAS,2400.8575305291724,2345.359576027389
2006-12-15,12,2006,RENEWABLES,519.5563093622795,455.4016633609729
2006-12-15,12,2006,NET IMPORTS,-62.34464043419268,51.57962826872379
2007-01-15,1,2007,COAL,5152.137741046832,4861.239749535279
2007-01-15,1,2007,NATURAL GAS,2424.8264462809916,2345.3363905435176
2007-01-15,1,2007,RENEWABLES,499.4779614325069,463.6298219631235
2007-01-15,1,2007,NET IMPORTS,-85.17355371900827,59.50827970241554
2007-02-15,2,2007,COAL,5285.875,4806.888047026318
2007-02-15,2,2007,NATURAL GAS,2506.376488095238,2360.7616817621556
2007-02-15,2,2007,RENEWABLES,403.63690476190476,474.75784615667186
2007-02-15,2,2007,NET IMPORTS,-136.37053571428572,72.59273310743346
2007-03-15,3,2007,COAL,4864.63930013459,4796.587815544837
2007-03-15,3,2007,NATURAL GAS,2337.7173620457606,2349.634366947341
2007-03-15,3,2007,RENEWABLES,474.00672947510094,482.7547211566719
2007-03-15,3,2007,NET IMPORTS,195.06729475100943,74.85777940372977
2007-04-15,4,2007,COAL,5033.765277777778,4842.786246720879
2007-04-15,4,2007,NATURAL GAS,2145.073611111111,2305.8741640440185
2007-04-15,4,2007,RENEWABLES,388.1097222222222,493.2785649653136
2007-04-15,4,2007,NET IMPORTS,76.56388888888888,64.43778960648233
2007-05-15,5,2007,COAL,4755.7768817204305,4857.676495845178
2007-05-15,5,2007,NATURAL GAS,1922.0349462365593,2291.5503428610486
2007-05-15,5,2007,RENEWABLES,475.43682795698925,499.8723072385326
2007-05-15,5,2007,NET IMPORTS,60.365591397849464,50.92861051257618
2007-06-15,6,2007,COAL,4731.7138888888885,4855.118794372093
2007-06-15,6,2007,NATURAL GAS,1985.4736111111113,2300.04485420584
2007-06-15,6,2007,RENEWABLES,675.775,500.7175251859412
2007-06-15,6,2007,NET IMPORTS,86.6138888888889,55.94198556668005
2007-07-15,7,2007,COAL,4507.01747311828,4848.72313136371
2007-07-15,7,2007,NATURAL GAS,2406.7594086021504,2302.0167542917425
2007-07-15,7,2007,RENEWABLES,566.9784946236559,504.84413771889535
2007-07-15,7,2007,NET IMPORTS,302.5766129032258,74.2331060826906
2007-08-15,8,2007,COAL,4409.646505376344,4821.158715654898
2007-08-15,8,2007,NATURAL GAS,2441.1639784946237,2301.404920513691
2007-08-15,8,2007,RENEWABLES,498.52150537634407,512.1182893335642
2007-08-15,8,2007,NET IMPORTS,144.88978494623655,93.20866796692705
2007-09-15,9,2007,COAL,4626.840277777777,4814.486216776477
2007-09-15,9,2007,NATURAL GAS,2237.1666666666665,2309.0153960632647
