"","Scenario","Unit","Region","Variable","Year","Value"
"118","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2030,78.0739398380844
"119","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2031,79.0485871435974
"120","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2032,79.8463444769458
"121","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2033,80.6260279317111
"122","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2034,81.429346728133
"123","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2035,82.2532469311646
"124","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2036,83.0961156317341
"125","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2037,83.9571246421462
"126","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2038,84.8302494060547
"127","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2039,85.716203759341
"128","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2040,86.4775994019488
"129","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2041,87.137482966017
"130","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2042,87.8169870167381
"131","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2043,88.5159183682716
"132","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2044,89.2343290471107
"133","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2045,89.4694698213492
"134","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2046,89.2884854125902
"135","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2047,89.1121980365117
"136","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2048,88.9404479919127
"137","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2049,88.7730822603618
"138","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2050,88.6099541833854
"139","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2005,283.70621865682
"140","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2006,272.124639314506
"141","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2007,256.805239744356
"142","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2008,237.663069486644
"143","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2009,216.340504096028
"144","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2010,189.494660397323
"145","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2011,171.413812235887
"146","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2012,145.784953698224
"147","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2013,134.069698338086
"148","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2014,125.618445318805
"149","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2015,114.868551818365
"150","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2016,97.261399388923
"151","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2017,87.4001566571428
"152","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2018,74.7114290111483
"153","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2019,63.8491153683877
"154","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2020,60.6840587772231
"155","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2021,56.8221447923952
"156","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2022,53.1080462158818
"157","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2023,49.3761780901438
"158","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Non Associated",2024,45.5306693246722
